"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\amazon-clone\amazon-clone\src\App.css", "CSS", 3, 0, 0, 0, 3
"c:\amazon-clone\amazon-clone\src\App.js", "JavaScript", 0, 51, 5, 9, 65
"c:\amazon-clone\amazon-clone\src\Checkout.css", "CSS", 15, 0, 0, 4, 19
"c:\amazon-clone\amazon-clone\src\Checkout.js", "JavaScript", 0, 48, 0, 4, 52
"c:\amazon-clone\amazon-clone\src\CheckoutProduct.css", "CSS", 30, 0, 0, 7, 37
"c:\amazon-clone\amazon-clone\src\CheckoutProduct.js", "JavaScript", 0, 33, 1, 7, 41
"c:\amazon-clone\amazon-clone\src\Header.css", "CSS", 61, 0, 0, 13, 74
"c:\amazon-clone\amazon-clone\src\Header.js", "JavaScript", 0, 61, 0, 7, 68
"c:\amazon-clone\amazon-clone\src\Home.css", "CSS", 17, 0, 0, 4, 21
"c:\amazon-clone\amazon-clone\src\Home.js", "JavaScript", 0, 64, 0, 4, 68
"c:\amazon-clone\amazon-clone\src\Login.css", "CSS", 54, 0, 0, 8, 62
"c:\amazon-clone\amazon-clone\src\Login.js", "JavaScript", 0, 67, 2, 9, 78
"c:\amazon-clone\amazon-clone\src\Product.css", "CSS", 34, 0, 0, 6, 40
"c:\amazon-clone\amazon-clone\src\Product.js", "JavaScript", 0, 39, 1, 4, 44
"c:\amazon-clone\amazon-clone\src\StateProvider.js", "JavaScript", 0, 8, 5, 5, 18
"c:\amazon-clone\amazon-clone\src\Subtotal.css", "CSS", 28, 0, 0, 4, 32
"c:\amazon-clone\amazon-clone\src\Subtotal.js", "JavaScript", 0, 32, 0, 4, 36
"c:\amazon-clone\amazon-clone\src\firebase.js", "JavaScript", 0, 14, 0, 4, 18
"c:\amazon-clone\amazon-clone\src\index.css", "CSS", 13, 0, 0, 2, 15
"c:\amazon-clone\amazon-clone\src\index.js", "JavaScript", 0, 16, 3, 3, 22
"c:\amazon-clone\amazon-clone\src\reducer.js", "JavaScript", 0, 33, 3, 9, 45
"c:\amazon-clone\amazon-clone\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 2, 14
"Total", "-", 255, 478, 20, 119, 872
